filename,width,height,class,xmin,ymin,xmax,ymax
24000.jpg,1920,1080,forklift,285,754,463,889
24000.jpg,1920,1080,forklift,1518,281,1594,355
24001.jpg,1920,1080,forklift,178,604,720,1021
24001.jpg,1920,1080,forklift,61,95,186,197
24002.jpg,1920,1080,forklift,1466,665,1713,844
24002.jpg,1920,1080,forklift,1232,27,1588,297
24003.jpg,1920,1080,forklift,1554,825,1641,902
24003.jpg,1920,1080,forklift,919,603,1170,807
24004.jpg,1920,1080,forklift,696,284,1059,571
24004.jpg,1920,1080,forklift,1563,344,1789,485
24005.jpg,1920,1080,forklift,198,367,567,668
24005.jpg,1920,1080,forklift,1236,270,1475,470
24006.jpg,1920,1080,forklift,161,565,429,850
24006.jpg,1920,1080,forklift,1098,127,1456,466
24007.jpg,1920,1080,forklift,740,591,1297,948
24007.jpg,1920,1080,forklift,93,677,226,758
24010.jpg,1920,1080,forklift,1247,650,1374,778
24010.jpg,1920,1080,forklift,1493,250,1830,526
24011.jpg,1920,1080,forklift,552,655,833,937
24011.jpg,1920,1080,forklift,449,332,933,714
24012.jpg,1920,1080,forklift,135,216,438,444
24012.jpg,1920,1080,forklift,1648,323,1737,390
24013.jpg,1920,1080,forklift,435,671,652,920
24013.jpg,1920,1080,forklift,1316,469,1541,735
24014.jpg,1920,1080,forklift,538,598,1032,956
24014.jpg,1920,1080,forklift,505,762,650,891
24015.jpg,1920,1080,forklift,817,370,1197,806
24016.jpg,1920,1080,forklift,1622,696,1811,814
24016.jpg,1920,1080,forklift,1763,112,1882,189
24017.jpg,1920,1080,forklift,1083,257,1391,601
24017.jpg,1920,1080,forklift,788,390,911,527
24020.jpg,1920,1080,forklift,1308,519,1517,694
24020.jpg,1920,1080,forklift,1039,108,1243,273
24021.jpg,1920,1080,forklift,765,780,931,881
24021.jpg,1920,1080,forklift,1086,0,1423,276
24022.jpg,1920,1080,forklift,1652,314,1890,567
24022.jpg,1920,1080,forklift,39,114,351,365
24023.jpg,1920,1080,forklift,141,545,551,880
24023.jpg,1920,1080,forklift,1161,80,1405,273
24024.jpg,1920,1080,forklift,1242,433,1591,743
24024.jpg,1920,1080,forklift,1125,169,1503,405
24025.jpg,1920,1080,forklift,817,687,1099,910
24025.jpg,1920,1080,forklift,1546,205,1903,585
24026.jpg,1920,1080,forklift,1059,462,1467,792
24026.jpg,1920,1080,forklift,460,65,613,213
24027.jpg,1920,1080,forklift,1134,235,1526,650
24027.jpg,1920,1080,forklift,14,72,240,248
24030.jpg,1920,1080,forklift,1349,441,1451,540
24030.jpg,1920,1080,forklift,833,194,1288,507
24031.jpg,1920,1080,forklift,956,746,1333,1052
24031.jpg,1920,1080,forklift,124,412,286,541
24032.jpg,1920,1080,forklift,918,143,1317,386
24032.jpg,1920,1080,forklift,509,196,691,321
24033.jpg,1920,1080,forklift,907,827,1026,927
24033.jpg,1920,1080,forklift,947,255,1143,416
24034.jpg,1920,1080,forklift,191,948,310,1024
24034.jpg,1920,1080,forklift,1335,553,1411,627
24035.jpg,1920,1080,forklift,994,492,1246,699
24035.jpg,1920,1080,forklift,120,168,419,350
24036.jpg,1920,1080,forklift,543,802,795,1069
24036.jpg,1920,1080,forklift,584,433,1039,746
24037.jpg,1920,1080,forklift,1355,498,1784,904
24037.jpg,1920,1080,forklift,607,222,833,363
24040.jpg,1920,1080,forklift,1382,882,1505,1019
24040.jpg,1920,1080,forklift,245,583,512,785
24041.jpg,1920,1080,forklift,81,634,610,1045
24041.jpg,1920,1080,forklift,1346,597,1715,898
24042.jpg,1920,1080,forklift,488,271,849,549
24042.jpg,1920,1080,forklift,534,209,860,473
24043.jpg,1920,1080,forklift,19,469,138,595
24043.jpg,1920,1080,forklift,936,323,1200,488
24044.jpg,1920,1080,forklift,150,550,301,667
24044.jpg,1920,1080,forklift,543,135,942,378
24045.jpg,1920,1080,forklift,323,448,608,678
24045.jpg,1920,1080,forklift,1800,250,1908,374
24046.jpg,1920,1080,forklift,16,683,398,1067
24046.jpg,1920,1080,forklift,1252,826,1534,1049
24047.jpg,1920,1080,forklift,1520,566,1622,665
24047.jpg,1920,1080,forklift,275,270,399,375
24050.jpg,1920,1080,forklift,1304,268,1460,393
24050.jpg,1920,1080,forklift,90,3,368,181
24051.jpg,1920,1080,forklift,1129,722,1487,1061
24051.jpg,1920,1080,forklift,19,114,521,522
24052.jpg,1920,1080,forklift,1192,565,1510,769
24052.jpg,1920,1080,forklift,1117,36,1253,192
24053.jpg,1920,1080,forklift,85,315,294,485
24053.jpg,1920,1080,forklift,732,215,854,314
24054.jpg,1920,1080,forklift,1271,767,1641,1036
24054.jpg,1920,1080,forklift,724,798,842,888
24055.jpg,1920,1080,forklift,332,819,510,1009
24055.jpg,1920,1080,forklift,844,25,1071,181
24056.jpg,1920,1080,forklift,1602,421,1888,692
24056.jpg,1920,1080,forklift,546,163,819,350
24057.jpg,1920,1080,forklift,1672,940,1850,1075
24057.jpg,1920,1080,forklift,1758,481,1887,579
24060.jpg,1920,1080,forklift,365,594,543,767
24060.jpg,1920,1080,forklift,678,28,1220,445
24061.jpg,1920,1080,forklift,893,620,1219,884
24061.jpg,1920,1080,forklift,1221,444,1383,573
24062.jpg,1920,1080,forklift,1451,446,1538,523
24062.jpg,1920,1080,forklift,1180,194,1409,417
24063.jpg,1920,1080,forklift,143,680,510,977
24063.jpg,1920,1080,forklift,1406,201,1895,598
24064.jpg,1920,1080,forklift,1038,316,1288,553
24064.jpg,1920,1080,forklift,1358,127,1604,402
24065.jpg,1920,1080,forklift,824,713,1159,985
24065.jpg,1920,1080,forklift,260,196,634,512
24066.jpg,1920,1080,forklift,1387,766,1793,1079
24066.jpg,1920,1080,forklift,1260,582,1396,738
24067.jpg,1920,1080,forklift,880,804,1067,962
24067.jpg,1920,1080,forklift,0,311,519,703
24070.jpg,1920,1080,forklift,460,825,776,1068
24070.jpg,1920,1080,forklift,50,47,216,148
24071.jpg,1920,1080,forklift,149,466,500,880
24071.jpg,1920,1080,forklift,398,393,984,868
24072.jpg,1920,1080,forklift,1537,881,1658,976
24072.jpg,1920,1080,forklift,302,671,561,867
24073.jpg,1920,1080,forklift,951,51,1497,426
24073.jpg,1920,1080,forklift,448,180,807,412
24074.jpg,1920,1080,forklift,1367,543,1822,856
24074.jpg,1920,1080,forklift,934,136,1052,226
24075.jpg,1920,1080,forklift,873,561,1242,973
24075.jpg,1920,1080,forklift,1546,453,1792,728
24076.jpg,1920,1080,forklift,530,769,781,1065
24076.jpg,1920,1080,forklift,1523,882,1659,1038
24077.jpg,1920,1080,forklift,1568,796,1846,974
24077.jpg,1920,1080,forklift,1283,244,1691,575
24080.jpg,1920,1080,forklift,677,555,1054,861
24080.jpg,1920,1080,forklift,127,211,408,493
24081.jpg,1920,1080,forklift,40,589,646,1046
24081.jpg,1920,1080,forklift,12,360,445,687
24082.jpg,1920,1080,forklift,858,551,1217,783
24082.jpg,1920,1080,forklift,1235,225,1664,631
24083.jpg,1920,1080,forklift,688,684,940,951
24083.jpg,1920,1080,forklift,892,497,1099,654
24084.jpg,1920,1080,forklift,261,637,659,892
24084.jpg,1920,1080,forklift,1483,169,1892,450
24085.jpg,1920,1080,forklift,1212,577,1464,844
24085.jpg,1920,1080,forklift,171,658,306,762
24086.jpg,1920,1080,forklift,670,216,931,449
24086.jpg,1920,1080,forklift,372,51,750,287
24087.jpg,1920,1080,forklift,1558,388,1807,588
24087.jpg,1920,1080,forklift,516,83,777,316
24090.jpg,1920,1080,forklift,952,716,1178,892
24090.jpg,1920,1080,forklift,1371,117,1749,353
24091.jpg,1920,1080,forklift,1592,838,1715,975
24091.jpg,1920,1080,forklift,343,620,662,826
24092.jpg,1920,1080,forklift,1179,693,1387,914
24092.jpg,1920,1080,forklift,1185,26,1309,131
24093.jpg,1920,1080,forklift,208,713,450,904
24093.jpg,1920,1080,forklift,155,606,414,802
24094.jpg,1920,1080,forklift,247,579,665,930
24094.jpg,1920,1080,forklift,711,545,847,638
24095.jpg,1920,1080,forklift,141,518,502,796
24095.jpg,1920,1080,forklift,25,430,280,686
24096.jpg,1920,1080,forklift,741,650,970,873
24096.jpg,1920,1080,forklift,1448,156,1720,468
24097.jpg,1920,1080,forklift,990,476,1359,888
24097.jpg,1920,1080,forklift,1332,276,1669,552
24100.jpg,1920,1080,forklift,726,816,876,993
24100.jpg,1920,1080,forklift,665,186,945,483
24101.jpg,1920,1080,forklift,1220,718,1438,893
24101.jpg,1920,1080,forklift,1138,10,1328,228
24102.jpg,1920,1080,forklift,494,737,627,818
24102.jpg,1920,1080,forklift,1137,246,1556,586
